"id","sie","nombre","dependencia","soft_delete"
1,"2861880180","12 DE ABRIL",FISCAL,false
2,"1561880054","12 DE JULIO",CONVENIO,false
3,"2161880118","16 DE MARZO",FISCAL,false
4,"1661880076","2 DE AGOSTO",FISCAL,false
5,"2261880120","27 DE ABRIL",FISCAL,false
6,"2561880147",CNL. CIRO MEALLA,FISCAL,false
7,"2361880121",DARIO MAYSER,CONVENIO,false
8,"1961880106",EDUARDO ABAROA B,FISCAL,false
9,"661880006",EDUARDO ABAROA C,FISCAL,false
10,"2661880156",EL PROGRESO,FISCAL,false
11,"1361880045",ELIZARDO PEREZ,FISCAL,false
12,"2961880181",ENRIQUE DE OSSO II,CONVENIO,false
13,"3061880182",ENRIQUE DE OSSO III,CONVENIO,false
14,"3161880183",ENRIQUE DE OSSO IV,CONVENIO,false
15,"761880009",FRANZ TAMAYO,FISCAL,false
16,"1161880036",GRAL. JOSE DE SAN MARTIN,FISCAL,false
17,"551880020",GREGORIO LOPEZ M.,FISCAL,false
18,"961880017",GUALBERTO VILLARROEL A,FISCAL,false
19,"2761880174",GUILLERMO JORDAN,FISCAL,false
20,"451880019",JOSE DAVID BERRIOS,FISCAL,false
21,"151880001",JUAN CARLOS BARRIENTOS PEREZ,FISCAL,false
22,"861880013",LA ASUNTA,CONVENIO,false
23,"1261880042",LUZ Y VERDAD,FISCAL,false
24,"1061880018",PADRE LUCIANO RUDOL,CONVENIO,false
25,"1761880077",PATUJU,FISCAL,false
26,"1861880101",RVDO. LEO EICHENSEER,CONVENIO,false
27,"351880011",SAN JUAN DE BERLIN,FISCAL,false
28,"1461880049",SAN SALVADOR,FISCAL,false
29,"251880003",SANTA CLARA,FISCAL,false
30,"2061880116",SIMON BOLIVAR,FISCAL,false
31,"2061880117",CRISTO ES LA RESPUESTA,FISCAL,false
